device_id,discarded_fix_ts,rank_in_burst,reason
LA1,2008-11-19 06:40:48,1,"first fix of burst, implied speed > 8.0 m/s"
LA1,2008-11-19 08:20:48,1,"first fix of burst, implied speed > 8.0 m/s"
LA1,2008-11-19 08:40:48,1,"first fix of burst, implied speed > 8.0 m/s"
LA1,2008-11-19 09:20:48,1,"first fix of burst, implied speed > 8.0 m/s"
LA1,2008-11-19 10:00:48,1,"first fix of burst, implied speed > 8.0 m/s"
LA1,2008-11-19 10:20:48,1,"first fix of burst, implied speed > 8.0 m/s"
LA1,2008-11-19 10:40:48,1,"first fix of burst, implied speed > 8.0 m/s"
LA1,2008-11-19 11:00:48,1,"first fix of burst, implied speed > 8.0 m/s"
LA1,2008-11-19 11:20:48,1,"first fix of burst, implied speed > 8.0 m/s"
LA1,2008-11-19 11:40:48,1,"first fix of burst, implied speed > 8.0 m/s"
LA1,2008-11-19 12:20:49,1,"first fix of burst, implied speed > 8.0 m/s"
LA1,2008-11-19 12:40:48,1,"first fix of burst, implied speed > 8.0 m/s"
LA1,2008-11-19 13:00:48,1,"first fix of burst, implied speed > 8.0 m/s"
LA1,2008-11-19 13:40:48,1,"first fix of burst, implied speed > 8.0 m/s"
LA1,2008-11-19 14:00:48,1,"first fix of burst, implied speed > 8.0 m/s"
LA1,2008-11-19 14:20:48,1,"first fix of burst, implied speed > 8.0 m/s"
LA1,2008-11-19 15:00:48,1,"first fix of burst, implied speed > 8.0 m/s"
LA1,2008-11-19 15:20:48,1,"first fix of burst, implied speed > 8.0 m/s"
LA1,2008-11-19 16:20:48,1,"first fix of burst, implied speed > 8.0 m/s"
LA1,2008-11-19 18:00:48,1,"first fix of burst, implied speed > 8.0 m/s"
LA1,2008-11-19 22:20:48,1,"first fix of burst, implied speed > 8.0 m/s"
LA1,2008-11-20 01:40:48,1,"first fix of burst, implied speed > 8.0 m/s"
LA1,2008-11-20 02:00:48,1,"first fix of burst, implied speed > 8.0 m/s"
LA1,2008-11-20 02:20:48,1,"first fix of burst, implied speed > 8.0 m/s"
LA1,2008-11-20 02:40:48,1,"first fix of burst, implied speed > 8.0 m/s"
LA1,2008-11-20 03:20:49,1,"first fix of burst, implied speed > 8.0 m/s"
LA1,2008-11-20 03:40:48,1,"first fix of burst, implied speed > 8.0 m/s"
LA1,2008-11-20 04:40:48,1,"first fix of burst, implied speed > 8.0 m/s"
LA1,2008-11-20 05:00:48,1,"first fix of burst, implied speed > 8.0 m/s"
LA1,2008-11-20 05:40:48,1,"first fix of burst, implied speed > 8.0 m/s"
LA1,2008-11-20 06:00:48,1,"first fix of burst, implied speed > 8.0 m/s"
LA1,2008-11-20 06:20:48,1,"first fix of burst, implied speed > 8.0 m/s"
LA1,2008-11-20 06:40:48,1,"first fix of burst, implied speed > 8.0 m/s"
LA1,2008-11-20 07:00:48,1,"first fix of burst, implied speed > 8.0 m/s"
LA1,2008-11-20 07:20:48,1,"first fix of burst, implied speed > 8.0 m/s"
LA1,2008-11-20 07:40:48,1,"first fix of burst, implied speed > 8.0 m/s"
LA1,2008-11-20 08:00:48,1,"first fix of burst, implied speed > 8.0 m/s"
LA1,2008-11-20 08:20:48,1,"first fix of burst, implied speed > 8.0 m/s"
LA1,2008-11-20 08:40:48,1,"first fix of burst, implied speed > 8.0 m/s"
LA1,2008-11-20 09:20:48,1,"first fix of burst, implied speed > 8.0 m/s"
LA1,2008-11-20 14:20:48,1,"first fix of burst, implied speed > 8.0 m/s"
LA1,2008-11-20 15:00:48,1,"first fix of burst, implied speed > 8.0 m/s"
LA1,2008-11-20 16:00:48,1,"first fix of burst, implied speed > 8.0 m/s"
LA1,2008-11-20 16:20:48,1,"first fix of burst, implied speed > 8.0 m/s"
LA1,2008-11-20 20:00:48,1,"first fix of burst, implied speed > 8.0 m/s"
